ulog_timestamp_us,time_from_offboard_s,x_m,y_m,x_ref_m,y_ref_m,outside_corridor_m
144164000,0.0,0.0,0.0,0.0,0.0,0.0
144172000,0.008,0.00041732192039489746,0.0008932575583457947,0.0075,0.0,0.0
144180000,0.016,0.000843346118927002,0.0017785876989364624,0.015,0.0,0.0
144188000,0.024,0.0012777447700500488,0.002656005322933197,0.022500000000000003,0.0,0.0
144196000,0.032,0.0017202794551849365,0.003525450825691223,0.03,0.0,0.0
144204000,0.04,0.0021698176860809326,0.004387035965919495,0.0375,0.0,0.0
144212000,0.048,0.0025056302547454834,0.0053087323904037476,0.045000000000000005,0.0,0.0
144220000,0.055999999999999994,0.0028517842292785645,0.006220772862434387,0.05249999999999999,0.0,0.0
144228000,0.064,0.0032107532024383545,0.007122933864593506,0.06,0.0,0.0
144236000,0.072,0.0035868287086486816,0.00801481306552887,0.06749999999999999,0.0,0.0
144244000,0.08,0.003969401121139526,0.008890174329280853,0.075,0.0,0.0
144252000,0.088,0.004382044076919556,0.009754247963428497,0.0825,0.0,0.0
144260000,0.096,0.004832446575164795,0.01060650497674942,0.09000000000000001,0.0,0.0
144268000,0.104,0.005328536033630371,0.011446282267570496,0.09749999999999999,0.0,0.0
144276000,0.11199999999999999,0.005878478288650513,0.012273110449314117,0.10499999999999998,0.0,0.0
144284000,0.12,0.00649067759513855,0.013086773455142975,0.11249999999999999,0.0,0.0
144292000,0.128,0.007173746824264526,0.013886913657188416,0.12,0.0,0.0
144300000,0.13599999999999998,0.007936090230941772,0.014673255383968353,0.12749999999999997,0.0,0.0
144308000,0.144,0.00878596305847168,0.015445597469806671,0.13499999999999998,0.0,0.0
144316000,0.152,0.009725481271743774,0.016234882175922394,0.1425,0.0,0.0
144324000,0.16,0.010768651962280273,0.01700955629348755,0.15,0.0,0.0
144332000,0.16799999999999998,0.011923283338546753,0.01776941865682602,0.1575,0.0,0.0
144340000,0.176,0.012749403715133667,0.018369928002357483,0.165,0.0,0.0
144348000,0.184,0.013706296682357788,0.01895807683467865,0.17250000000000001,0.0,0.0
