ulog_timestamp_us,time_from_offboard_s,x_m,y_m,x_ref_m,y_ref_m,outside_corridor_m
484156000,0.0,0.0,0.0,0.0,0.0,0.0
484164000,0.008,-0.0008473396301269531,0.0004401281476020813,0.0075,0.0,0.0
484172000,0.016,-0.0016872584819793701,0.0008803904056549072,0.015,0.0,0.0
484180000,0.024,-0.0025200247764587402,0.0013206154108047485,0.022500000000000003,0.0,0.0
484188000,0.032,-0.003346472978591919,0.0017609968781471252,0.03,0.0,0.0
484196000,0.04,-0.004167437553405762,0.002201773226261139,0.0375,0.0,0.0
484204000,0.048,-0.004982978105545044,0.002642691135406494,0.045000000000000005,0.0,0.0
484212000,0.055999999999999994,-0.005679458379745483,0.0032078325748443604,0.05249999999999999,0.0,0.0
484220000,0.064,-0.006369531154632568,0.003769494593143463,0.06,0.0,0.0
484228000,0.072,-0.007050454616546631,0.0043275803327560425,0.06749999999999999,0.0,0.0
484236000,0.08,-0.007718712091445923,0.0048819854855537415,0.075,0.0,0.0
484244000,0.088,-0.00837033987045288,0.005432456731796265,0.0825,0.0,0.0
484252000,0.096,-0.009000957012176514,0.005978666245937347,0.09000000000000001,0.0,0.0
484260000,0.104,-0.009605854749679565,0.0065203383564949036,0.09749999999999999,0.0,0.0
484268000,0.11199999999999999,-0.010180175304412842,0.007057368755340576,0.10499999999999998,0.0,0.0
484276000,0.12,-0.010719001293182373,0.007589660584926605,0.11249999999999999,0.0,0.0
484284000,0.128,-0.011214077472686768,0.008116170763969421,0.12,0.0,0.0
484292000,0.13599999999999998,-0.011663466691970825,0.008637331426143646,0.12749999999999997,0.0,0.0
484300000,0.144,-0.012062281370162964,0.009152851998806,0.13499999999999998,0.0,0.0
484308000,0.152,-0.012405425310134888,0.009662598371505737,0.1425,0.0,0.0
484316000,0.16,-0.01268795132637024,0.010166577994823456,0.15,0.0,0.0
484324000,0.16799999999999998,-0.01290518045425415,0.010664589703083038,0.1575,0.0,0.0
484332000,0.176,-0.013052374124526978,0.011156350374221802,0.165,0.0,0.0
484340000,0.184,-0.013768672943115234,0.012208059430122375,0.17250000000000001,0.0,0.0
484348000,0.192,-0.01440340280532837,0.013240434229373932,0.18000000000000002,0.0,0.0
484356000,0.19999999999999998,-0.014943927526473999,0.014256007969379425,0.18749999999999997,0.0,0.0
484364000,0.208,-0.015386819839477539,0.015255026519298553,0.19499999999999998,0.0,0.0
484372000,0.216,-0.015729010105133057,0.016237594187259674,0.20249999999999999,0.0,0.0
484380000,0.22399999999999998,-0.01596766710281372,0.01720394939184189,0.20999999999999996,0.0,0.0
484388000,0.23199999999999998,-0.016100019216537476,0.018154308199882507,0.21749999999999997,0.0,0.0
484396000,0.24,-0.016123712062835693,0.01908886432647705,0.22499999999999998,0.0,0.0
484404000,0.248,-0.016036629676818848,0.020007818937301636,0.23249999999999998,0.0,0.0
484412000,0.256,-0.015836745500564575,0.02091151475906372,0.24,0.0,0.0
484420000,0.264,-0.015519887208938599,0.021798893809318542,0.2475,0.0,0.0
484428000,0.27199999999999996,-0.0150870680809021,0.022671349346637726,0.25499999999999995,0.0,0.0
484436000,0.27999999999999997,-0.014537006616592407,0.02352909743785858,0.26249999999999996,0.0,0.0
484444000,0.288,-0.013868629932403564,0.024372361600399017,0.26999999999999996,0.0,0.0
484452000,0.296,-0.013081014156341553,0.025201313197612762,0.27749999999999997,0.0,0.0
484460000,0.304,-0.011744886636734009,0.02616279572248459,0.285,0.0,0.0
484468000,0.312,-0.010298043489456177,0.027108676731586456,0.2925,0.0,0.0
484476000,0.32,-0.00873979926109314,0.028039179742336273,0.3,0.0,0.0
484484000,0.32799999999999996,-0.007069796323776245,0.028954513370990753,0.30749999999999994,0.0,0.0
